"";"month.of.tweet";"day.of.tweet";"day.of.week";"hour.of.tweet";"period.of.tweet";"text";"route";"routetype";"disrupt";"disrupt_reason";"reasongroup"
"3412";"1";"25";"Thursday";"17";"Evening Rush";"505 dundas diverting westbound via parliament gerrard broadview due to collision at broadview and erindale. ";"505";"streetcar";"detour";"to collision at broadview and erindale";"collision on the road"
"3413";"1";"25";"Thursday";"17";"Evening Rush";"504 king diverting both ways via dundas parliament due to collision at broadview and erindale. ";"504";"streetcar";"detour";"to collision at broadview and erindale";"collision on the road"
"3414";"1";"25";"Thursday";"16";"Evening Rush";"50 burnhamthorpe diverting both ways via dundas royal avon due to collision at burnhamthorpe and dundas. ";"50";"bus";"detour";"to collision at burnhamthorpe and dundas";"collision on the road"
"3415";"1";"25";"Thursday";"15";"Midday";"503 kingston diverting westbound via church richmond university due to emergency roadway repairs at yonge and wellington. ";"503";"streetcar";"detour";"to emergency roadway repairs at yonge and wellington";"watermain/sewer/road repairs"
"3416";"1";"25";"Thursday";"13";"Midday";"21 brimley diverting northbound via huntingwood mccowan finch due to collision at brimley and huntingwood. ";"21";"bus";"detour";"to collision at brimley and huntingwood";"collision on the road"
"3417";"1";"25";"Thursday";"13";"Midday";"trains are holding on line 4 sheppard both ways at sheppard-yonge station due to toronto fire investigation. ";"line 4";"subway";"delay";"to toronto fire investigation";"fire"
"3418";"1";"25";"Thursday";"12";"Midday";"elevator alert jane station eastbound platform to concourse out of service. ";"jane";"elevator";"elevator down";NA;NA
"3419";"1";"25";"Thursday";"10";"Midday";"elevator alert york mills station concourse level to bus level out of service. ";"york mills";"elevator";"elevator down";NA;NA
"3420";"1";"25";"Thursday";" 9";"Morning Rush";"29 dufferin diverting both ways via billy bishop way due to police investigation at dufferin and wilson. ";"29";"bus";"detour";"to police investigation at dufferin and wilson";"police/security"
"3421";"1";"25";"Thursday";" 9";"Morning Rush";"service suspended on line 2 trains turning back to keele and christie due to toronto fire investigation at lansdowne station. ";"line 2";"subway";"no service";"to toronto fire investigation at lansdowne station";"fire"
"3422";"1";"25";"Thursday";" 8";"Morning Rush";"505 dundas diverting eastbound via parliament gerrard due to stalled streetcar at dundas and broadview. ";"505";"streetcar";"detour";"to stalled streetcar at dundas and broadview";"stalled streetcar"
"3423";"1";"25";"Thursday";" 8";"Morning Rush";"elevator alert dundaswest station eastbound platform to concourse to bus level out of service. ";"dundaswest";"elevator";"elevator down";NA;NA
"3424";"1";"25";"Thursday";" 7";"Morning Rush";"elevator alert st george station line 1 (yu) to line 2 (bd) to bus platform out of service. ";"st george";"elevator";"elevator down";NA;NA
"3425";"1";"25";"Thursday";" 6";"Morning Rush";"503 kingston road diverting westbound via church richmond university king due to water main break at king and church. ";"503";"streetcar";"detour";"to water main break at king and church";"watermain/sewer/road repairs"
"3426";"1";"25";"Thursday";" 5";"Late night";"line 2 customers may experience longer than normal wait times eastbound from kipling station due to disabled train. efforts are underway to restore regular service. ";"line 2";"subway";"delay";"to disabled train";"blockage on the road/rail"
"3427";"1";"25";"Thursday";" 4";"Late night";"elevator alert sheppard-yonge station line 1 (yu) platform to line 4 (shp) platform out of service. ";"sheppard-yonge";"elevator";"elevator down";NA;NA
"3428";"1";"25";"Thursday";" 3";"Late night";"307 bathurst is diverting b/w via princess gate loop due to stalled streetcar at exhibition loop. ";"307";"bus";"detour";"to stalled streetcar at exhibition loop";"stalled streetcar"
"3429";"1";"24";"Wednesday";"23";"Evening";"511 bathurst is being diverted b/w via fleet canada blvd princes gate nunavut manitoba due to stalled streetcar at fleet loop. ";"511";"streetcar";"detour";"to stalled streetcar at fleet loop";"stalled streetcar"
"3430";"1";"24";"Wednesday";"22";"Evening";"trains are holding on line 2 westbound at spadina due to emergency alarm activated on train. ";"line 2";"subway";"delay";"to emergency alarm activated on train";"emergency alarm"
